client_id,client_name,delegate_name,delegate_id,client_tax_id,notes
1a293732-fe90-471f-bdb4-fd052485bcb8,Carmen Riera casas,,8d0fde62-26b2-43d1-a8a4-7247839250d9,00000000T,Registro placeholder o identidad débil; no crear automáticamente
363861fb-ecde-4dd3-9351-bd4e02ba84d5,Cliente,,,00000000T,Registro placeholder o identidad débil; no crear automáticamente
f5e51d87-5192-4261-943f-ef0169165017,Cliente,,,00000000T,Registro placeholder o identidad débil; no crear automáticamente
7be08b24-6a28-485d-921c-d520fdf95070,Cliente,,,00000000T,Registro placeholder o identidad débil; no crear automáticamente
fc127613-5023-448c-8cb1-84b9cb47ab47,Cliente,,,00000000T,Registro placeholder o identidad débil; no crear automáticamente
2580cbf0-62d5-4fa1-bab0-5f3860da532d,Cliente,,,00000000T,Registro placeholder o identidad débil; no crear automáticamente
16a9bb93-ca1b-4d64-b1e7-930d6ddaae5a,Cliente,,,00000000T,Registro placeholder o identidad débil; no crear automáticamente
4a1d0e00-4bee-45a5-bffb-a55ba47777c1,Cliente,,,00000000T,Registro placeholder o identidad débil; no crear automáticamente
b7f0d206-73ac-4952-992e-bca775782004,Cliente,,,00000000T,Registro placeholder o identidad débil; no crear automáticamente
42836395-2fe6-4a6f-90d1-eee292761523,Cliente,,,00000000T,Registro placeholder o identidad débil; no crear automáticamente
c1f24dd4-0f75-4aab-ad5a-576d6a645a71,Cliente,,,00000000T,Registro placeholder o identidad débil; no crear automáticamente
4ab08f00-e059-4854-b912-425d89f9df33,Cliente,,,00000000T,Registro placeholder o identidad débil; no crear automáticamente
96f778ee-149e-4802-bd4b-0db55ff7d37e,Cliente,,,00000000T,Registro placeholder o identidad débil; no crear automáticamente
d7423fbc-c79a-4e0e-98e6-845a30e4c158,Cliente,,,00000000T,Registro placeholder o identidad débil; no crear automáticamente
2b17ec62-fb35-4e21-870a-78e03a3cb4d2,Cliente,,,00000000T,Registro placeholder o identidad débil; no crear automáticamente
8c3a2d27-ddd4-4b4d-abe5-4a8a2eefe408,Cliente,,,00000000T,Registro placeholder o identidad débil; no crear automáticamente
a4c1c2c5-6c2a-444b-aaee-f6c87818311d,Cliente,,,00000000T,Registro placeholder o identidad débil; no crear automáticamente
dd0f9dc1-d6f0-4c0c-b331-92dde2d8c61c,Cliente,,,00000000T,Registro placeholder o identidad débil; no crear automáticamente
57faacc7-8441-49d7-929f-cb80a1945646,Cliente,,,00000000T,Registro placeholder o identidad débil; no crear automáticamente
a65590fc-5515-4478-ac9f-d28859ad4328,Cliente,,,00000000T,Registro placeholder o identidad débil; no crear automáticamente
ae8ffd59-8bd1-4a36-987e-c8338a83248a,Cliente,,,00000000T,Registro placeholder o identidad débil; no crear automáticamente
c3087ab3-6ba5-4422-9c8d-90a2205c5368,Cliente,,,00000000T,Registro placeholder o identidad débil; no crear automáticamente
278dab9b-1675-47e3-8593-07789e2c714d,Cliente,,,00000000T,Registro placeholder o identidad débil; no crear automáticamente
5d04a823-ef65-44bd-a5ef-fc8c51d5ba12,Cliente,,,00000000T,Registro placeholder o identidad débil; no crear automáticamente
c8509842-f4ba-4962-ad91-f2037e72a8f2,Cliente,,,00000000T,Registro placeholder o identidad débil; no crear automáticamente
c581c4c8-d5af-4b84-ba7f-2e14dd573d34,Cliente,,,00000000T,Registro placeholder o identidad débil; no crear automáticamente
fd68dbbc-904e-4366-bcd7-c57059ba165b,Cliente,,,00000000T,Registro placeholder o identidad débil; no crear automáticamente
d5774a83-ae02-4b85-9729-f80042f8b263,Cliente,,,00000000T,Registro placeholder o identidad débil; no crear automáticamente
cfc44e04-4c17-41cc-b580-50e126b5d3d4,Cliente,,,00000000T,Registro placeholder o identidad débil; no crear automáticamente
9f73fe5a-2c38-4f07-8278-111d8085444f,Cliente,,,00000000T,Registro placeholder o identidad débil; no crear automáticamente
502b979d-d440-483e-808a-4643ed82f14b,Cliente,,,00000000T,Registro placeholder o identidad débil; no crear automáticamente
b6e0be66-fc16-4600-a901-02ca0f96eadb,Cliente,,,00000000T,Registro placeholder o identidad débil; no crear automáticamente
0b77b2ec-ae5f-41ed-b25d-c0b37f9d96c2,Cliente,,,00000000T,Registro placeholder o identidad débil; no crear automáticamente
91c13359-be6c-4e82-b0f9-2a5822a0215f,Cliente,,,00000000T,Registro placeholder o identidad débil; no crear automáticamente
99798140-535b-4b67-a570-5f20857a2a35,Cliente,,,00000000T,Registro placeholder o identidad débil; no crear automáticamente
c83e2456-51cb-40e1-974e-cb31156133a9,Cliente,,,00000000T,Registro placeholder o identidad débil; no crear automáticamente
91c0baaa-f2c9-43dc-ab92-21bfcb7b2f6c,Cliente,,,00000000T,Registro placeholder o identidad débil; no crear automáticamente
e6fe2aa6-e1bd-49d9-978f-014de96261aa,Cliente,,,00000000T,Registro placeholder o identidad débil; no crear automáticamente
45cd2aaf-d481-4702-8737-e994dc262478,Cliente,,,00000000T,Registro placeholder o identidad débil; no crear automáticamente
7d98c64c-8cee-4f7f-8db2-88ac5390757d,Cliente,,,00000000T,Registro placeholder o identidad débil; no crear automáticamente
929a6f67-78f1-4334-986b-580801438c09,Cliente,,,00000000T,Registro placeholder o identidad débil; no crear automáticamente
3314cad3-7e38-4084-90cc-c2567a52843e,Cliente,,,00000000T,Registro placeholder o identidad débil; no crear automáticamente
4ac4b148-f3cd-4449-a8aa-8a23058cbb8e,Cliente,,,00000000T,Registro placeholder o identidad débil; no crear automáticamente
59989640-cfcb-4857-a8d0-b542babf36da,Cliente,,,00000000T,Registro placeholder o identidad débil; no crear automáticamente
fb948f3f-ff6f-4946-9c31-00a983551a61,Cliente,,,00000000T,Registro placeholder o identidad débil; no crear automáticamente
541ea491-9645-4dc2-b213-5c0d46811dba,Cliente,,,00000000T,Registro placeholder o identidad débil; no crear automáticamente
8cc8bafa-c0d8-48ad-8e69-82ec3d33c59d,Cliente,,,00000000T,Registro placeholder o identidad débil; no crear automáticamente
cc3688f1-b4c7-4e7a-8521-a0466707a53a,Cliente,,,00000000T,Registro placeholder o identidad débil; no crear automáticamente
7a02320d-12f0-4472-a9e7-30cfd7b65de2,Cliente,,,00000000T,Registro placeholder o identidad débil; no crear automáticamente
2395590c-2cb0-4889-91f0-8042a2b1fe96,Cliente,,,00000000T,Registro placeholder o identidad débil; no crear automáticamente
0462ad9f-97dc-4807-99f5-cf31dd3ff5c4,Cliente,,,00000000T,Registro placeholder o identidad débil; no crear automáticamente
bf8a5653-24cd-439e-be5c-934d37b4dc22,Cliente,,,00000000T,Registro placeholder o identidad débil; no crear automáticamente
5e5f95a6-efaa-4cb9-9c12-e88e2cf4d54f,Cliente,,,00000000T,Registro placeholder o identidad débil; no crear automáticamente
42c3e89e-1262-4653-a555-1c792e44e49e,Cliente,,,00000000T,Registro placeholder o identidad débil; no crear automáticamente
b9f0146e-32c1-4756-bc4a-71cec3f30ef8,Cliente,,,00000000T,Registro placeholder o identidad débil; no crear automáticamente
4a382be1-7b85-4ac1-9949-6f8f9b18fef8,Cliente,,,00000000T,Registro placeholder o identidad débil; no crear automáticamente
802d0492-27d3-4c62-ad51-5fcd46bd5311,Cliente,,,00000000T,Registro placeholder o identidad débil; no crear automáticamente
972e66a6-45b9-4291-a9f9-9a009ec3f12f,Cliente,,,00000000T,Registro placeholder o identidad débil; no crear automáticamente
33b93f04-3fe2-4797-adee-d614a101dbd1,Cliente,,,00000000T,Registro placeholder o identidad débil; no crear automáticamente
69eb8843-7827-41c6-b825-b49e845a8bb8,Cliente,,,00000000T,Registro placeholder o identidad débil; no crear automáticamente
8c33b700-d9d0-45e8-be7d-532a3c190bd0,Cliente,,,00000000T,Registro placeholder o identidad débil; no crear automáticamente
175592fa-d6e4-4227-8046-2992997070d8,Cliente,,,00000000T,Registro placeholder o identidad débil; no crear automáticamente
731868cc-33ef-4595-963a-cd3534e8a559,Cliente,,,00000000T,Registro placeholder o identidad débil; no crear automáticamente
81cc9d79-06d4-4ca3-adfa-d7edd0bb2295,Cliente,,,00000000T,Registro placeholder o identidad débil; no crear automáticamente
0bc0a555-90c8-47ad-a30b-80f8f84d3d82,Cliente,,,00000000T,Registro placeholder o identidad débil; no crear automáticamente
a476542f-75ee-46b1-95ee-e0ce1ff0d911,Cliente,,,00000000T,Registro placeholder o identidad débil; no crear automáticamente
defd9c8e-5d31-49dc-96f4-c420e62ce241,Cliente,,,00000000T,Registro placeholder o identidad débil; no crear automáticamente
a456ef6b-87e5-418f-bf43-f94e6370c413,Cliente,,,00000000T,Registro placeholder o identidad débil; no crear automáticamente
66edc549-ecb9-4057-8a15-8d5f63ad8e21,Cliente,,,00000000T,Registro placeholder o identidad débil; no crear automáticamente
3488aec2-22ee-41c8-b21e-741e492aaba5,Cliente,,,00000000T,Registro placeholder o identidad débil; no crear automáticamente
21572df4-87a1-4c7d-960c-745706a0ff1d,Cliente,,,00000000T,Registro placeholder o identidad débil; no crear automáticamente
95e0ae97-3e8c-4845-b5db-ae453c91b084,Cliente,,,00000000T,Registro placeholder o identidad débil; no crear automáticamente
f5fc9831-5d62-44d5-91ef-5da5375727ec,Cliente,,,00000000T,Registro placeholder o identidad débil; no crear automáticamente
